reality;L;N;min_duration_inverse;min_duration_forward;avg_error
0;4;4;0.000141;0.000151;1.049830e-15
0;8;4;0.000208;0.000375;2.371394e-15
0;16;4;0.000808;0.001852;3.657749e-15
0;32;4;0.003406;0.005950;8.969639e-15
0;64;4;0.030313;0.041044;1.823964e-14
0;128;4;0.164140;0.282438;3.675144e-14
0;256;4;1.492368;2.044394;6.965906e-14
0;512;4;11.383265;14.630166;1.482347e-13
0;1024;4;94.848802;112.581292;2.992922e-13
0;2048;4;903.862668;1030.508878;6.635332e-13
1;4;4;0.000079;0.000086;1.008694e-15
1;8;4;0.000122;0.000214;2.253415e-15
1;16;4;0.000468;0.001058;3.026703e-15
1;32;4;0.001886;0.003263;5.920035e-15
1;64;4;0.016342;0.022488;1.307200e-14
1;128;4;0.088514;0.152860;3.447183e-14
1;256;4;0.738637;1.034477;6.587636e-14
1;512;4;5.472860;7.261636;1.353233e-13
1;1024;4;50.809279;60.891933;2.886376e-13
1;2048;4;516.725505;588.248541;6.322944e-13
